No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
364,OPCH,"Option Care Health, Inc.",5325521110,30.70,-1.22%,4302324000
365,ONB,Old National Bancorp,5234194600,16.52,2.07%,1777608000
366,OZK,Bank OZK,5222905800,45.39,0.99%,2085144000
367,DOOO,BRP Inc.,5172670969,69.28,-0.14%,7736567164
368,LANC,Lancaster Colony Corporation,5126611880,186.21,-0.35%,1867084000
369,ALGM,"Allegro MicroSystems, Inc.",5075351280,26.29,0.77%,1078231000
370,FRPT,"Freshpet, Inc.",5064203499,104.87,0.17%,766895000
371,COOP,Mr. Cooper Group Inc.,5060936348,78.35,1.03%,1794000000
372,RCM,R1 RCM Inc.,5030751600,11.97,-0.17%,2254200000
373,CIGI,Colliers International Group Inc.,4985802822,107.95,1.63%,4335141000
374,HALO,"Halozyme Therapeutics, Inc.",4939859520,38.88,0.62%,829253000
375,EXLS,"ExlService Holdings, Inc.",4918811280,29.67,1.19%,1630668000
376,DJT,Trump Media & Technology Group Corp.,4917119863,36.00,-1.04%,4131100
377,MARA,"Marathon Digital Holdings, Inc.",4906630400,17.37,5.27%,387508000
378,PEGA,Pegasystems Inc.,4889144350,58.25,1.11%,1432616000
379,HCP,"HashiCorp, Inc.",4886981471,24.39,1.75%,583137000
380,EEFT,"Euronet Worldwide, Inc.",4811303943,105.13,2.03%,3688000000
381,VRNS,"Varonis Systems, Inc.",4806031200,44.07,1.67%,499160000
382,BILI,Bilibili Inc.,4787531059,11.73,7.52%,3177431171
383,CRSP,CRISPR Therapeutics AG,4784860347,56.26,2.20%,371206000
384,ACT,"Enact Holdings, Inc.",4776452180,30.02,0.84%,1153686000
385,SLM,SLM Corporation,4765068750,21.63,2.56%,1463866000
386,SRCL,"Stericycle, Inc.",4735732836,51.16,2.50%,2659300000
387,FELE,"Franklin Electric Co., Inc.",4732979698,102.67,1.21%,2065133000
388,NVMI,Nova Ltd.,4702701773,161.93,1.26%,517922000
389,UBSI,"United Bankshares, Inc.",4691641045,34.77,1.76%,1024029000
390,BCPC,Balchem Corporation,4682246632,144.65,0.82%,922439000
391,BBIO,"BridgeBio Pharma, Inc.",4673460324,25.33,2.38%,9303000
392,PTEN,"Patterson-UTI Energy, Inc.",4659511680,11.42,-0.78%,4146456000
393,COLM,Columbia Sportswear Company,4638352449,77.57,1.33%,3487203000
394,STNE,StoneCo Ltd.,4606545260,15.36,0.36%,2475359959
395,VERX,"Vertex, Inc.",4591454082,29.76,4.02%,572387000
396,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",4565812654,74.38,1.60%,2102662000
397,CRUS,"Cirrus Logic, Inc.",4563979700,84.53,3.06%,1789885000
398,WIRE,Encore Wire Corporation,4536150970,287.26,1.01%,2567722000
399,MDGL,"Madrigal Pharmaceuticals, Inc.",4525170480,216.07,1.90%,
400,KRYS,"Krystal Biotech, Inc.",4482962470,158.33,-0.13%,50699000
401,NVEI,Nuvei Corporation,4482266143,32.12,0.16%,1189893000
402,ESGR,Enstar Group Limited,4412197944,289.64,1.60%,1429000000
403,LNTH,"Lantheus Holdings, Inc.",4366724180,63.66,-0.24%,1296429000
404,FFIN,"First Financial Bankshares, Inc.",4352508480,30.49,1.60%,481181000
405,AUR,"Aurora Innovation, Inc.",4321582433,2.79,-0.54%,
406,AVT,"Avnet, Inc.",4308089398,47.68,2.19%,25609789000
407,FIVN,"Five9, Inc.",4303538154,58.69,2.80%,910488000
408,ASO,"Academy Sports and Outdoors, Inc.",4284262932,57.59,0.74%,6159291000
409,CLSK,"CleanSpark, Inc.",4270657680,18.93,10.09%,214375000
410,ALPN,"Alpine Immune Sciences, Inc.",4224773811,64.46,-0.14%,58876000
411,MMSI,"Merit Medical Systems, Inc.",4222517700,72.87,1.17%,1257366000
412,DLO,DLocal Limited,4217387065,14.24,-2.13%,650351000
413,AVAV,"AeroVironment, Inc.",4216416002,149.85,-0.11%,705782000
414,BLKB,"Blackbaud, Inc.",4210652996,78.68,2.87%,1105432000
415,FIZZ,National Beverage Corp.,4207487674,45.00,-0.78%,1181078000
416,ITRI,"Itron, Inc.",4200484134,91.68,2.23%,2173633000
417,CVLT,"Commvault Systems, Inc.",4172957420,95.63,0.80%,819433000
418,IAC,IAC Inc.,4169308514,48.50,1.04%,4365235000
419,IQ,"iQIYI, Inc.",4159207904,4.34,5.99%,4495437377
420,IPAR,"Inter Parfums, Inc.",4154175141,129.73,1.45%,1317675000
421,IMVT,"Immunovant, Inc.",4146676749,28.59,1.31%,
422,NUVL,"Nuvalent, Inc.",4116665758,64.24,2.36%,
423,SATS,EchoStar Corporation,4104002369,15.12,3.92%,17015598000
424,PECO,"Phillips Edison & Company, Inc.",4067357510,33.25,0.70%,610124000
425,UMBF,UMB Financial Corporation,4060216930,83.28,2.26%,1420742000
426,WEN,The Wendy's Company,4058980830,19.76,2.62%,2181578000
427,CRVL,CorVel Corporation,4053913245,237.16,1.19%,773521000
428,EXPO,"Exponent, Inc.",4049101056,80.11,1.19%,536766000
429,VLY,Valley National Bancorp,4022735925,7.91,2.53%,1841023000
430,ALKS,Alkermes plc,4019013180,24.06,0.88%,1663405000
431,FROG,JFrog Ltd.,4014114560,37.78,1.72%,349886000
432,BRZE,"Braze, Inc.",4003246209,39.73,2.03%,471800000
433,VRRM,Verra Mobility Corporation,3982843790,24.00,2.17%,817310000
434,IPGP,IPG Photonics Corporation,3933550873,85.33,1.26%,1287439000
435,HWC,Hancock Whitney Corporation,3931319232,45.23,2.17%,1326976000
436,COLB,"Columbia Banking System, Inc.",3930513840,18.85,2.92%,1783899000
437,BGC,"BGC Group, Inc",3929929286,7.85,1.75%,2025401000
438,FRHC,Freedom Holding Corp.,3923785584,65.50,0.09%,1399432000
439,LOPE,"Grand Canyon Education, Inc.",3864894750,128.69,1.21%,960899000
440,RUSHA,"Rush Enterprises, Inc.",3825969386,49.24,1.09%,7925024000
441,SYM,Symbotic Inc.,3818747200,39.96,0.58%,1339029000
442,RUSHB,"Rush Enterprises, Inc.",3812017087,46.87,0.75%,7925024000
443,SLAB,Silicon Laboratories Inc.,3797984376,118.98,3.29%,782258000
444,PAGP,"Plains GP Holdings, L.P.",3697989960,18.77,0.03%,48712000000
445,CNXC,Concentrix Corporation,3664860167,55.50,0.56%,7881050000
446,CAR,"Avis Budget Group, Inc.",3656525916,103.04,1.36%,12008000000
447,CSWI,"CSW Industrials, Inc.",3650448150,235.29,1.47%,777665000
448,OMAB,"Grupo Aeroportuario del Centro Norte, SAB de CV",3650342687,74.89,-0.28%,612667762
449,INSM,Insmed Incorporated,3618007580,24.39,0.27%,305208000
450,POWI,"Power Integrations, Inc.",3613683150,63.52,1.00%,444538000
451,RARE,Ultragenyx Pharmaceutical Inc.,3611243802,43.92,3.66%,434249000
452,URBN,"Urban Outfitters, Inc.",3597917819,38.55,4.25%,5153237000
453,BL,"BlackLine, Inc.",3593081441,58.37,1.74%,589996000
454,ALVO,Alvotech,3556737260,13.33,0.83%,93382000
455,OTTR,Otter Tail Corporation,3538503430,84.64,0.46%,1349166000
456,IRTC,"iRhythm Technologies, Inc.",3525697228,113.88,1.60%,492681000
457,TSEM,Tower Semiconductor Ltd.,3520899168,31.76,2.47%,1422680000
458,TRIP,"Tripadvisor, Inc.",3518165841,25.53,1.96%,1788000000
459,RELY,"Remitly Global, Inc.",3511851317,18.63,0.62%,944285000
460,TIGO,Millicom International Cellular S.A.,3494942778,20.32,1.20%,5661000000
461,RDNT,"RadNet, Inc.",3480390564,47.67,2.46%,1616630000
462,ACIW,"ACI Worldwide, Inc.",3472256190,32.63,2.13%,1452579000
463,IBOC,International Bancshares Corporation,3463390422,55.69,2.33%,798866000
464,RRR,"Red Rock Resorts, Inc.",3446757906,58.21,1.42%,1724086000
465,TFSL,TFS Financial Corporation,3424674200,12.19,0.66%,301589000
466,IRDM,Iridium Communications Inc.,3418226350,28.14,2.70%,789303000
467,AXNX,"Axonics, Inc.",3415187664,66.94,-0.02%,366379000
468,CAMT,Camtek Ltd.,3409563945,75.55,1.16%,315375000
469,GT,The Goodyear Tire & Rubber Company,3401227620,11.97,0.76%,20066000000
470,IBRX,"ImmunityBio, Inc.",3400087840,5.07,-3.80%,622000
471,CRNX,"Crinetics Pharmaceuticals, Inc.",3398505495,43.64,1.56%,4013000
472,AEIS,"Advanced Energy Industries, Inc.",3398423040,91.11,1.57%,1655810000
473,NCNO,"nCino, Inc.",3371114755,29.52,0.36%,476543000
474,LLYVA,Liberty Live Group - Series A,3362112791,35.65,-0.45%,
475,LLYVK,Liberty Live Group - Series C,3361624559,37.11,-0.43%,
476,TXG,"10x Genomics, Inc.",3352772855,27.99,0.18%,618727000
477,AXSM,"Axsome Therapeutics, Inc.",3348901073,70.70,4.12%,270600000
478,PI,"Impinj, Inc.",3332284032,120.44,3.54%,307539000
479,ARCB,ArcBest Corporation,3320616864,141.40,2.44%,4427443000
480,SANM,Sanmina Corporation,3298040793,59.15,2.34%,8454038000
481,PCH,PotlatchDeltic Corporation,3283432600,41.29,0.24%,1024075000
482,SMPL,The Simply Good Foods Company,3269000129,32.82,-1.06%,1266087000
483,ABCB,Ameris Bancorp,3257535138,47.16,1.90%,935216000
484,ALRM,"Alarm.com Holdings, Inc.",3242192658,64.91,1.25%,881682000
485,MEOH,Methanex Corporation,3224491875,47.89,-0.04%,3723475000
486,FOLD,"Amicus Therapeutics, Inc.",3212290125,10.87,2.45%,399356000
487,PGNY,"Progyny, Inc.",3202815086,33.19,1.50%,1088598000
488,FTRE,Fortrea Holdings Inc.,3200482940,35.78,0.79%,3109000000
489,SWTX,"SpringWorks Therapeutics, Inc.",3189065496,43.21,7.76%,5447000
490,IOVA,"Iovance Biotherapeutics, Inc.",3188289405,11.42,0.97%,1189000
491,ACLS,"Axcelis Technologies, Inc.",3179710371,97.38,2.73%,1130604000
492,SYNA,Synaptics Incorporated,3160795512,80.31,-0.90%,1028600000
493,SBRA,"Sabra Health Care REIT, Inc.",3158503665,13.65,-0.11%,647514000
494,VCTR,"Victory Capital Holdings, Inc.",3150884931,48.99,3.20%,821028000
495,FORM,"FormFactor, Inc.",3146227128,40.55,-0.53%,663102000
496,SEDG,"SolarEdge Technologies, Inc.",3134789250,54.89,-1.64%,2976528000
497,DIOD,Diodes Incorporated,3126662788,68.06,1.74%,1661739000
498,BHF,"Brighthouse Financial, Inc.",3118952160,49.64,1.49%,4117000000
499,SHC,Sotera Health Company,3118222800,11.03,0.73%,1049288000
500,NWE,NorthWestern Corporation,3101755686,50.61,0.96%,1422143000
